M,N,K,libtype,solidx,soltimems,indtype,outdtype
8192,5597,8192,hipblaslt,77925,0.7023984432220459,torch.float8_e4m3fnuz,torch.float16
8192,4031,28672,hipblaslt,77924,1.7813827514648437,torch.float8_e4m3fnuz,torch.float16
8192,2516,8192,hipblaslt,77829,0.3339487075805664,torch.float8_e4m3fnuz,torch.float16
8192,4499,28672,hipblaslt,78013,2.0534618377685545,torch.float8_e4m3fnuz,torch.float16
10240,2094,8192,hipblaslt,77586,0.35876145362854006,torch.float8_e4m3fnuz,torch.float16
57344,1581,8192,hipblaslt,77952,1.516690731048584,torch.float8_e4m3fnuz,torch.float16
8192,2746,8192,hipblaslt,77960,0.3623267412185669,torch.float8_e4m3fnuz,torch.float16
57344,2537,8192,hipblaslt,77950,2.299454116821289,torch.float8_e4m3fnuz,torch.float16
10240,996,8192,hipblaslt,77723,0.18306114673614501,torch.float8_e4m3fnuz,torch.float16
8192,4022,28672,hipblaslt,77924,1.7807979583740234,torch.float8_e4m3fnuz,torch.float16
8192,65296,8192,hipblaslt,77922,7.506232579549153,torch.float8_e4m3fnuz,torch.float16
57344,1926,8192,hipblaslt,77939,1.7786127090454102,torch.float8_e4m3fnuz,torch.float16
10240,2846,8192,hipblaslt,77496,0.43389267921447755,torch.float8_e4m3fnuz,torch.float16
10240,4762,8192,hipblaslt,77922,0.7343698501586914,torch.float8_e4m3fnuz,torch.float16
57344,2859,8192,hipblaslt,77920,2.5986953735351563,torch.float8_e4m3fnuz,torch.float16
10240,164,28672,hipblaslt,76981,0.16073310375213623,torch.float8_e4m3fnuz,torch.float16
8192,1412,8192,hipblaslt,77710,0.188983952999115,torch.float8_e4m3fnuz,torch.float16
57344,4755,8192,hipblaslt,77920,4.302156829833985,torch.float8_e4m3fnuz,torch.float16
8192,549,28672,hipblaslt,76918,0.33124070167541503,torch.float8_e4m3fnuz,torch.float16
57344,2977,8192,hipblaslt,78012,2.6762563705444338,torch.float8_e4m3fnuz,torch.float16
8192,1277,28672,hipblaslt,77917,0.6278395175933837,torch.float8_e4m3fnuz,torch.float16
8192,2438,28672,hipblaslt,77418,1.1920337677001953,torch.float8_e4m3fnuz,torch.float16
8192,1830,28672,hipblaslt,77924,0.8757847785949707,torch.float8_e4m3fnuz,torch.float16
10240,7600,8192,hipblaslt,77921,1.1425184249877929,torch.float8_e4m3fnuz,torch.float16
8192,2938,8192,hipblaslt,77976,0.3767560482025146,torch.float8_e4m3fnuz,torch.float16
10240,2327,8192,hipblaslt,77960,0.3734231472015381,torch.float8_e4m3fnuz,torch.float16
10240,1613,8192,hipblaslt,77423,0.29502503871917723,torch.float8_e4m3fnuz,torch.float16
8192,3402,28672,hipblaslt,77901,1.5211813926696778,torch.float8_e4m3fnuz,torch.float16
8192,2473,8192,hipblaslt,77829,0.33161025047302245,torch.float8_e4m3fnuz,torch.float16
8192,6296,8192,hipblaslt,77888,0.7930087089538574,torch.float8_e4m3fnuz,torch.float16
8192,3582,28672,hipblaslt,77903,1.5644654273986816,torch.float8_e4m3fnuz,torch.float16
8192,1004,28672,hipblaslt,77830,0.5495059967041016,torch.float8_e4m3fnuz,torch.float16
57344,2312,8192,hipblaslt,77920,2.193731689453125,torch.float8_e4m3fnuz,torch.float16
57344,3341,8192,hipblaslt,77880,3.03961067199707,torch.float8_e4m3fnuz,torch.float16
10240,518,8192,hipblaslt,77866,0.12152199745178223,torch.float8_e4m3fnuz,torch.float16
8192,377,28672,hipblaslt,76946,0.22551004886627196,torch.float8_e4m3fnuz,torch.float16
8192,6346,28672,hipblaslt,77935,2.9536392211914064,torch.float8_e4m3fnuz,torch.float16
57344,1764,8192,hipblaslt,77925,1.573957633972168,torch.float8_e4m3fnuz,torch.float16
8192,4769,8192,hipblaslt,78018,0.6004233837127686,torch.float8_e4m3fnuz,torch.float16
8192,5166,8192,hipblaslt,77888,0.6241485595703125,torch.float8_e4m3fnuz,torch.float16
10240,1663,8192,hipblaslt,77593,0.29426589012146,torch.float8_e4m3fnuz,torch.float16
57344,687,8192,hipblaslt,77939,0.668412160873413,torch.float8_e4m3fnuz,torch.float16
10240,2619,8192,hipblaslt,77973,0.416616153717041,torch.float8_e4m3fnuz,torch.float16
8192,1142,8192,hipblaslt,77408,0.1607000470161438,torch.float8_e4m3fnuz,torch.float16
8192,5250,8192,hipblaslt,77496,0.6284248352050781,torch.float8_e4m3fnuz,torch.float16
57344,3400,8192,hipblaslt,77952,3.095309257507324,torch.float8_e4m3fnuz,torch.float16
8192,2959,8192,hipblaslt,77976,0.37687125205993655,torch.float8_e4m3fnuz,torch.float16
